filename;lb;ub
20-10-10000-1-9;7825;7825
20-20-10000-1-7;8382;8382
20-30-10000-1-5;8614;8614
20-40-10000-1-3;8745;8746
20-50-10000-1-1;8835;8835
2-30-10000-1-9;4277;4278
2-30-10000-2-8;4273;4274
2-40-10000-1-7;4370;4371
2-40-10000-2-6;4375;4376
2-50-10000-1-5;4444;4446
2-50-10000-2-4;4441;4442
4-20-10000-1-2;6312;6312
4-20-10000-2-3;4956;4956
4-30-10000-1-1;6533;6533
4-30-10000-2-0;4991;4991
4-40-10000-1-9;6659;6660
4-40-10000-2-8;4998;4999
4-50-10000-1-7;6753;6754
4-50-10000-2-6;5000;5002
